frame,entity,x,y,z,vx,vy,vz,observed,cams_used,rmse
3,player_0,-47.02940262799151,2548.604735121596,-95.28405698968803,0.0,0.0,0.0,1,2,0.716467902734013
3,player_1,4834.965022747872,1516.51193524035,-2370.217870586105,0.0,0.0,0.0,1,2,2.1753684874715518
4,player_0,-113.36456226390663,2568.4867687179317,-91.89290081385393,-2.6491660243314183,0.7940104190163313,0.1354294732013788,1,2,0.9502985067649846
4,player_1,4834.965022747872,1516.51193524035,-2370.217870586105,0.0,0.0,0.0,0,0,nan
5,player_0,-113.47052890487988,2568.5185291346925,-91.88748363492587,-2.6491660243314183,0.7940104190163313,0.1354294732013788,0,0,nan
5,player_1,4834.965022747872,1516.51193524035,-2370.217870586105,0.0,0.0,0.0,0,0,nan
6,player_0,4504.19885076624,2919.79974223112,-858.0515192048499,3945.33634375478,301.09613546818207,-654.9042098855182,1,2,0.43928410242767363
6,player_1,4834.965022747872,1516.51193524035,-2370.217870586105,0.0,0.0,0.0,0,0,nan
7,referee_0,-3111.3731554598703,6066.598180757135,-118.18249227584162,0.0,0.0,0.0,1,2,3.2786945726410965
7,player_0,4662.012304516431,2931.8435876498474,-884.2476876002706,3945.33634375478,301.09613546818207,-654.9042098855182,0,0,nan
7,player_1,4834.965022747872,1516.51193524035,-2370.217870586105,0.0,0.0,0.0,0,0,nan
8,referee_0,-3227.3701972360304,6094.033251601267,-124.51025535362629,-4.632466759452546,1.095649093999458,-0.25270603172876055,1,2,1.7534242350417946
8,player_0,5633.561407237213,2798.07110816157,-755.1628999193963,5506.60483051801,21.326614222636806,-356.9754370425496,1,2,0.5097668477011413
8,player_1,4834.965022747872,1516.51193524035,-2370.217870586105,0.0,0.0,0.0,0,0,nan
9,player_0,6792.426483206518,2925.552754520346,-1066.3047908310507,7744.030997640557,323.182395108541,-1064.6337967004965,1,2,0.5570609205044823
9,player_1,4834.965022747872,1516.51193524035,-2370.217870586105,0.0,0.0,0.0,0,0,nan
9,referee_0,-3227.5554959064084,6094.077077565027,-124.52036359489544,-4.632466759452546,1.095649093999458,-0.25270603172876055,0,0,nan
10,player_0,4973.300671061627,2901.671794148558,-826.4922595716066,1855.4281193191791,221.3690071902032,-283.5078154914238,1,2,0.45023312554248557
10,player_1,8395.463659890303,3052.2611516479665,-1767.8161287157131,928.6947508221102,400.5737345265744,157.12611984318235,1,2,1.0312190410368118
10,referee_0,-3227.7407945767864,6094.1209035287875,-124.5304718361646,-4.632466759452546,1.095649093999458,-0.25270603172876055,0,0,nan
11,player_0,3582.91070128569,2886.702166862601,-645.1089944086646,-2554.0879784967974,149.6405409570026,296.72815484089085,1,2,2.377967535893505
11,player_1,8519.647411212272,3112.3217471871553,-1730.4886313932554,985.1978450361735,429.16264459299555,177.27864753275009,1,2,3.055609723552191
11,player_2,5169.886081656358,1804.9959744437047,-126.63352360011172,0.0,0.0,0.0,1,2,2.7379233171751967
11,referee_0,-3227.9260932471643,6094.164729492548,-124.54058007743375,-4.632466759452546,1.095649093999458,-0.25270603172876055,0,0,nan
12,player_0,4551.875480557967,1618.6626069882393,-552.5971866542228,787.9629438269135,-3825.4734012755416,548.3431562263235,1,2,0.2223957511559966
